Package                                Version
-------------------------------------- --------------
aiofiles                               24.1.0
aiohappyeyeballs                       2.6.1
aiohttp                                3.13.5
aiohttp_socks                          0.11.0
aiosignal                              1.4.0
albucore                               0.0.24
albumentations                         2.0.8
alembic                                1.18.4
annotated-doc                          0.0.4
annotated-types                        0.7.0
anyio                                  4.13.0
attrs                                  26.1.0
av                                     17.0.1
beautifulsoup4                         4.14.3
blake3                                 1.0.8
certifi                                2026.4.22
cffi                                   2.0.0
chardet                                7.4.3
charset-normalizer                     3.4.7
click                                  8.3.3
colour-science                         0.4.7
comfy-aimdo                            0.3.0
comfy-kitchen                          0.2.8
comfyui-embedded-docs                  0.4.4
comfyui_frontend_package               1.43.17
comfyui_workflow_templates             0.9.69
comfyui-workflow-templates-core        0.3.226
comfyui-workflow-templates-media-api   0.3.75
comfyui-workflow-templates-media-image 0.3.135
comfyui-workflow-templates-media-other 0.3.192
comfyui-workflow-templates-media-video 0.3.83
cryptography                           48.0.0
diffusers                              0.38.0
easydict                               1.13
einops                                 0.8.2
filelock                               3.25.2
frozenlist                             1.8.0
fsspec                                 2026.2.0
gdown                                  6.0.0
gguf                                   0.19.0
gitdb                                  4.0.12
GitPython                              3.1.50
glfw                                   2.10.0
greenlet                               3.5.0
h11                                    0.16.0
h2                                     4.3.0
hf-xet                                 1.5.0
hpack                                  4.1.0
httpcore                               1.0.9
httpx                                  0.28.1
huggingface_hub                        1.14.0
hyperframe                             6.1.0
idna                                   3.13
ImageIO                                2.37.3
imageio-ffmpeg                         0.6.0
importlib_metadata                     9.0.0
Jinja2                                 3.1.6
jsonschema                             4.26.0
jsonschema-specifications              2025.9.1
kornia                                 0.8.2
kornia_rs                              0.1.11
lazy-loader                            0.5
llvmlite                               0.47.0
Mako                                   1.3.12
markdown-it-py                         4.1.0
MarkupSafe                             3.0.3
matrix-nio                             0.25.2
mdurl                                  0.1.2
mpmath                                 1.3.0
multidict                              6.7.1
networkx                               3.6.1
ninja                                  1.11.1.4
numba                                  0.65.1
numpy                                  2.4.3
opencv-python                          4.13.0.92
opencv-python-headless                 4.13.0.92
packaging                              26.0
pillow                                 12.1.1
pip                                    26.0.1
pixeloe                                0.1.4
platformdirs                           4.9.6
pooch                                  1.9.0
propcache                              0.4.1
protobuf                               7.34.1
psutil                                 7.2.2
pycparser                              3.0
pycryptodome                           3.23.0
pydantic                               2.13.4
pydantic_core                          2.46.4
pydantic-settings                      2.14.0
PyGithub                               2.9.1
Pygments                               2.20.0
PyJWT                                  2.12.1
PyMatting                              1.1.15
PyNaCl                                 1.6.2
PyOpenGL                               3.1.10
PySocks                                1.7.1
python-dotenv                          1.2.2
python-socks                           2.8.1
pytorch-triton-rocm                    3.1.0
PyYAML                                 6.0.3
referencing                            0.37.0
regex                                  2026.4.4
rembg                                  2.0.75
requests                               2.33.1
rich                                   15.0.0
rpds-py                                0.30.0
safetensors                            0.8.0rc0
scikit-image                           0.26.0
scipy                                  1.17.1
sentencepiece                          0.2.1
setuptools                             70.2.0
shellingham                            1.5.4
simpleeval                             1.0.7
simsimd                                6.5.16
smmap                                  5.0.3
soupsieve                              2.8.3
spandrel                               0.4.2
SQLAlchemy                             2.0.49
stringzilla                            4.6.1
sympy                                  1.14.0
tifffile                               2026.3.3
timm                                   1.0.26
tokenizers                             0.22.2
toml                                   0.10.2
torch                                  2.11.0+rocm7.2
torchaudio                             2.11.0+rocm7.2
torchsde                               0.2.6
torchvision                            0.26.0+rocm7.2
tqdm                                   4.67.3
trampoline                             0.1.2
transformers                           5.8.0
transparent-background                 1.3.4
triton-rocm                            3.6.0
typer                                  0.25.1
typing_extensions                      4.15.0
typing-inspection                      0.4.2
unpaddedbase64                         2.1.0
urllib3                                2.6.3
uv                                     0.11.11
wget                                   3.2
wheel                                  0.46.3
yarl                                   1.23.0
zipp                                   3.23.1
